county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Middlesex County, New Jersey,2016,26.5,25.6,16.6,90.0,15.3,5.3,6.1,73.2,31.8,5.5,26.8,274960,64.9,29.7,37.0,20.0,4.0,831852.0,5.6,0.7,4.4,37.9,6.0,33.3,(X),35941,102689,82375,3160,106095,27452,20489,9901,1.2,2.93,2.7,5.6,8.6,7.5,14.9,28.5,25.5,15.0,118710,60547,300611,8.3,11.7,53.0,7.1,7.4,5.3,6.6,0.0,0.7,2.93
Monmouth County, New Jersey,2016,24.1,26.4,17.6,92.1,17.2,4.4,6.8,69.2,29.3,4.6,30.8,89530,84.6,29.0,35.4,10.4,3.5,627532.0,2.8,0.5,3.2,42.6,5.1,34.1,(X),45652,120305,90226,5840,125413,30313,21091,9921,2.1,2.81,2.37,6.3,8.6,8.4,16.8,28.8,23.7,13.7,114941,51267,261053,4.8,7.4,67.6,3.1,9.0,3.4,3.8,0.0,0.9,2.81
Morris County, New Jersey,2016,20.3,31.8,21.4,93.7,13.1,3.2,7.1,73.2,32.6,3.5,26.8,97804,78.6,25.5,31.6,12.7,1.6,498215.0,2.5,0.8,3.6,42.2,5.0,30.7,(X),52726,143205,106985,3830,144322,34866,22405,10675,1.4,2.78,2.48,6.7,9.4,8.5,17.0,29.7,22.3,13.1,94042,42045,192065,4.6,8.1,67.5,4.1,9.4,3.0,3.2,0.0,0.2,2.78
Ocean County, New Jersey,2016,33.5,18.7,10.0,90.8,20.8,6.1,7.8,64.2,24.2,3.7,35.8,50201,89.9,25.7,32.1,8.9,3.1,586166.0,2.8,0.5,1.9,42.8,6.8,30.4,(X),32141,82537,62222,3347,87848,28252,20941,13295,2.2,2.54,2.88,5.9,6.1,7.6,17.0,32.1,23.4,13.9,106089,69756,282205,2.0,9.2,74.8,3.1,3.8,2.5,2.3,0.0,2.4,2.54
Passaic County, New Jersey,2016,33.1,19.2,8.7,81.8,15.6,8.4,5.2,72.7,31.6,6.0,27.3,155742,65.8,37.2,42.4,39.9,7.5,507204.0,8.7,0.9,15.6,36.5,6.9,28.0,(X),29546,86051,62016,3086,90001,23598,19131,10065,1.5,3.05,3.04,5.1,8.9,7.0,14.4,27.3,28.7,13.7,54309,29586,177006,4.9,5.4,41.2,21.3,10.4,10.4,6.1,0.1,0.2,3.05
Salem County, New Jersey,2016,39.5,12.8,5.9,86.7,18.5,10.0,10.0,58.7,20.5,4.2,41.3,2061,94.3,31.5,39.8,7.9,3.0,64504.0,3.7,0.3,2.6,41.8,5.6,26.9,(X),29601,73756,53662,1866,76221,23051,18898,7656,1.6,2.57,2.54,5.7,15.3,9.2,12.9,25.0,22.0,15.5,N,N,27613,3.3,3.7,72.7,3.4,6.0,3.3,3.4,0.0,4.3,2.57
Somerset County, New Jersey,2016,21.2,27.9,23.7,92.8,13.7,3.7,6.4,70.8,32.5,2.4,29.2,81638,73.9,28.2,34.0,14.1,1.6,331686.0,2.8,0.6,4.4,41.1,5.4,31.8,(X),51526,142077,104478,4826,148385,30167,22224,9803,1.5,2.95,2.5,6.2,7.5,6.8,17.9,29.9,25.0,12.8,59382,27416,126301,6.3,15.3,57.1,5.8,7.1,4.5,3.7,0.0,0.3,2.95
Sussex County, New Jersey,2016,32.3,23.9,10.1,94.5,20.3,3.7,8.0,71.9,25.9,4.1,28.1,12096,90.7,25.8,31.6,7.2,0.6,144694.0,2.8,0.3,1.5,43.8,4.7,39.0,(X),40979,109564,87829,4569,109029,30760,21978,11169,3.0,2.76,2.46,6.1,9.0,12.3,21.7,28.0,17.2,11.8,30727,11834,62364,2.2,6.2,79.3,1.9,0.9,2.3,5.6,0.0,1.6,2.76
Union County, New Jersey,2016,28.6,21.6,13.4,86.0,16.3,6.3,6.1,72.3,34.3,5.4,27.7,171502,66.0,34.5,39.3,30.1,2.1,550436.0,5.3,2.6,14.6,38.2,6.4,31.6,(X),38854,109955,72028,3356,114107,29721,19551,9198,1.6,3.0,2.79,5.6,9.6,7.2,14.1,28.1,26.5,14.4,75293,35467,201961,3.7,5.0,51.6,17.4,11.4,6.5,4.0,0.1,0.1,3.0
Warren County, New Jersey,2016,30.9,21.3,9.9,89.1,19.5,5.7,7.6,66.8,25.9,6.3,33.2,12183,87.8,28.3,35.2,8.2,0.8,107095.0,2.5,0.5,2.0,43.1,4.8,36.6,(X),36448,94313,74867,3250,94529,23713,20690,13914,2.9,2.71,2.24,6.2,9.6,7.2,17.6,29.1,23.4,13.0,20306,9263,45445,4.3,10.6,65.5,6.2,4.1,2.6,5.5,0.0,1.2,2.71
Bernalillo County, New Mexico,2016,23.6,18.7,14.9,88.9,23.4,6.8,8.4,60.7,25.8,5.6,39.3,66932,88.7,32.9,39.8,49.1,29.1,674777.0,0.6,0.3,15.3,36.8,6.1,22.0,(X),28414,69392,50601,3009,69957,28708,17842,10237,1.8,2.63,2.4,5.4,7.0,6.1,12.9,27.1,25.3,21.6,108285,59304,289854,5.2,5.2,65.2,1.6,8.3,5.2,3.6,0.1,5.6,2.63
Chaves County, New Mexico,2016,25.6,15.9,6.4,75.6,18.2,11.3,9.5,68.1,34.0,7.1,31.9,9792,84.1,25.3,38.2,54.9,48.4,65610.0,0.2,0.2,14.4,35.1,7.1,17.4,(X),20020,53516,40960,672,55793,18716,16652,8638,2.2,2.87,2.66,5.5,8.8,6.7,11.7,20.4,30.4,22.1,N,N,26717,1.3,1.8,73.2,0.7,4.8,1.3,1.9,0.2,14.9,2.87
Do?a Ana County, New Mexico,2016,23.8,15.8,10.3,80.0,22.4,8.4,7.7,69.5,28.2,5.7,30.5,37484,81.0,32.1,41.3,,,,,,,,,20.4,(X),20291,56328,37496,3757,54501,29016,17239,9013,2.8,2.78,2.71,5.3,6.6,4.4,14.7,26.6,27.7,20.1,24333,20944,85228,2.1,3.5,57.5,2.9,3.7,3.4,4.0,0.1,22.9,2.78
Lea County, New Mexico,2016,29.5,10.2,4.0,70.0,19.4,13.1,6.9,73.6,36.4,3.5,26.4,12698,81.3,32.7,35.5,55.8,53.6,68930.0,0.2,0.4,6.1,31.8,8.4,23.6,(X),21520,67445,55636,1968,68716,19338,16502,14355,1.7,3.17,3.36,5.1,10.7,6.7,12.1,22.1,26.8,21.7,6100,7903,25981,0.6,1.3,61.0,1.4,5.4,1.8,7.1,1.0,20.4,3.17
McKinley County, New Mexico,2016,34.1,5.2,4.6,73.3,22.7,16.5,6.7,69.2,27.3,7.4,30.8,1942,97.2,48.0,55.6,13.7,9.3,74346.0,0.3,0.0,4.3,30.8,8.3,22.2,(X),13359,43857,31526,2759,47022,22800,14907,7789,1.2,3.82,3.48,4.3,10.9,14.3,15.2,26.1,21.2,12.5,N,N,25722,1.1,2.3,62.2,3.3,0.3,4.7,2.0,0.2,23.9,3.82
Otero County, New Mexico,2016,28.8,10.5,7.5,86.0,28.1,8.9,11.1,63.1,23.7,4.2,36.9,7028,87.5,30.5,31.1,36.8,30.6,65333.0,0.7,0.1,8.4,35.7,6.9,20.4,(X),26902,66808,43646,5440,65296,31515,16531,10032,4.3,2.79,2.71,5.2,7.9,7.9,14.5,24.5,22.7,22.5,N,N,30916,1.5,1.7,62.1,1.4,0.4,6.6,1.4,0.3,24.6,2.79
Sandoval County, New Mexico,2016,22.0,18.5,13.2,88.8,24.3,8.2,10.8,71.1,28.3,3.3,28.9,8706,92.6,28.8,33.0,37.3,19.2,138117.0,0.4,0.2,11.4,39.4,5.8,30.0,(X),27038,73308,57158,3086,73150,28465,18553,11379,3.2,2.75,3.24,5.9,5.0,6.1,13.5,34.1,24.7,16.6,28711,13385,55241,0.5,3.9,81.5,0.4,1.8,2.0,1.2,0.0,8.7,2.75
San Juan County, New Mexico,2016,28.6,9.1,7.5,85.3,30.0,8.6,10.2,68.2,27.3,6.9,31.8,3292,96.4,31.0,33.6,19.8,12.2,122537.0,0.1,0.0,5.4,34.8,7.3,25.5,(X),24556,65449,52003,3365,68899,18801,16990,7694,1.0,2.63,2.64,5.2,7.8,8.1,16.9,27.6,24.7,14.9,16195,14379,49665,1.6,2.1,60.2,1.6,1.4,1.7,1.3,0.5,29.6,2.63
Santa Fe County, New Mexico,2016,24.2,21.8,19.9,89.7,18.0,5.0,5.7,56.0,18.0,3.7,44.0,15689,88.1,32.4,36.6,51.1,22.3,147320.0,0.2,0.1,9.6,45.0,4.8,22.1,(X),36316,82210,57863,1782,75557,36284,19577,9478,1.5,2.53,2.19,5.1,7.6,7.4,15.0,27.6,26.7,15.7,24350,17633,71875,2.6,5.4,63.4,2.4,3.9,3.6,5.5,0.0,13.2,2.53
Valencia County, New Mexico,2016,33.6,11.4,6.4,83.5,24.5,12.1,7.6,70.4,28.6,4.4,29.6,5629,91.7,29.0,37.2,59.7,34.7,75993.0,0.3,0.1,15.2,38.9,6.1,29.4,(X),20356,54551,43700,3373,51153,29513,17664,8175,3.2,2.67,3.17,5.5,8.5,7.8,20.0,27.5,19.0,17.3,10227,10282,30284,0.3,2.0,64.3,0.9,1.0,1.1,2.0,0.5,28.0,2.67
Albany County, New York,2016,22.9,22.1,20.5,91.6,14.8,5.9,11.3,55.2,23.9,3.5,44.8,33003,87.9,39.4,43.6,5.6,0.5,307891.0,3.0,0.2,1.8,37.8,5.0,19.9,(X),34857,83464,61754,3545,83895,29960,19754,10511,2.2,2.61,1.99,5.6,8.9,7.6,12.3,23.1,27.0,21.2,44269,23949,139522,4.0,4.2,48.5,16.5,8.8,11.0,5.3,0.0,1.6,2.61
Bronx County, New York,2016,28.6,12.0,6.3,72.0,17.8,14.0,7.3,66.5,31.4,8.1,33.5,544778,55.6,47.0,51.0,55.4,5.7,1436785.0,20.2,0.6,40.2,33.3,7.5,44.7,(X),19369,53466,37525,3353,58777,18656,14152,8800,1.4,2.97,2.8,3.9,7.0,6.7,15.2,28.7,29.4,13.1,57653,38629,525788,6.3,4.7,6.1,9.0,61.6,8.4,3.6,0.0,0.1,2.97
Broome County, New York,2016,31.0,16.1,13.6,90.3,18.3,7.1,11.4,60.1,23.1,3.7,39.9,12821,92.4,34.4,40.6,3.9,0.5,197381.0,1.9,0.1,1.3,39.8,5.2,17.8,(X),27373,67239,50463,3787,70294,25663,18906,10518,1.7,2.52,2.19,5.8,14.1,8.7,14.9,23.2,22.9,16.1,26833,22548,89618,3.0,2.4,60.2,12.5,4.0,7.4,6.1,0.0,4.3,2.52
Cattaraugus County, New York,2016,39.6,9.6,9.2,88.1,16.8,8.2,13.0,62.1,25.5,6.9,37.9,2256,96.6,26.5,35.9,1.9,0.3,78506.0,1.0,0.1,0.8,41.5,5.9,20.3,(X),23841,57722,46842,2524,59830,20601,18673,8080,3.7,2.52,2.04,5.8,13.0,8.6,16.0,23.2,24.2,15.0,11859,10951,40931,0.3,3.4,66.3,6.4,2.0,3.6,2.7,0.0,15.1,2.52
Cayuga County, New York,2016,31.3,14.9,8.4,87.0,19.0,10.1,13.3,59.9,24.4,4.5,40.1,1173,97.7,28.6,40.0,2.7,0.4,78783.0,1.0,0.1,0.9,42.4,5.1,24.9,(X),28023,68575,54995,2962,68183,20515,16966,11879,0.6,2.49,2.1,6.1,13.5,9.8,15.4,24.4,24.5,12.4,11748,10085,36463,1.4,2.4,69.7,5.7,4.8,6.0,1.1,0.0,9.0,2.49
Chautauqua County, New York,2016,36.0,11.7,9.8,87.9,17.8,7.9,12.6,60.3,23.6,3.9,39.7,3756,95.4,29.1,35.6,7.0,1.0,131748.0,5.2,0.1,1.9,42.0,5.4,18.6,(X),23049,55539,42204,4505,57233,24374,18816,8614,1.7,2.47,2.23,5.8,11.7,11.2,15.2,25.1,24.7,12.2,17678,17521,66566,1.7,1.5,68.0,11.9,2.5,6.2,2.2,0.0,6.0,2.47
Chemung County, New York,2016,33.3,14.6,12.9,91.2,18.7,5.3,11.7,61.6,24.6,4.7,38.4,2997,95.8,28.4,34.8,2.9,0.9,87742.0,1.0,0.0,0.9,41.0,5.9,20.2,(X),27636,67332,51269,2830,67537,25478,18171,9375,2.0,2.59,1.93,6.0,11.6,8.6,13.4,24.9,26.5,15.0,13694,8577,38323,3.0,0.7,63.8,10.9,4.5,9.1,3.5,0.0,4.6,2.59
Clinton County, New York,2016,38.1,10.7,10.6,88.8,17.4,7.9,12.0,66.2,24.6,6.8,33.8,3905,94.2,29.9,39.6,2.7,0.5,81505.0,1.1,0.1,1.5,39.4,4.8,19.3,(X),25278,65214,55316,6905,66197,23531,19267,11436,3.4,2.45,2.24,5.8,11.6,10.5,17.2,21.0,23.4,16.3,11543,9923,36025,2.4,2.2,61.4,4.9,3.3,6.6,5.3,0.0,13.9,2.45
Dutchess County, New York,2016,26.3,19.8,15.0,89.7,17.3,7.7,11.3,65.8,25.6,5.3,34.2,34143,87.3,31.8,38.9,11.5,2.4,295905.0,4.2,0.5,4.1,41.6,4.7,34.3,(X),37559,99958,74115,3863,96747,27865,20914,9380,1.9,2.69,2.23,6.0,10.9,8.4,15.4,28.8,19.8,16.7,48831,24404,119291,2.2,5.7,64.0,7.4,5.0,6.4,6.5,0.0,2.8,2.69
Erie County, New York,2016,28.3,18.8,14.4,91.4,17.6,6.0,12.3,58.4,23.8,4.3,41.6,62175,91.5,34.9,40.4,5.1,0.4,922129.0,3.5,0.1,2.6,40.4,5.4,21.4,(X),31450,73544,54246,3867,76820,25897,18720,9063,0.7,2.5,2.06,5.8,11.8,8.9,13.4,24.0,25.8,16.1,150949,95717,422428,2.4,2.7,58.7,18.0,5.7,5.9,5.4,0.0,1.2,2.5
Jefferson County, New York,2016,37.7,12.1,8.6,91.6,21.7,5.4,11.6,68.0,31.8,5.4,32.0,4388,93.5,24.9,38.9,7.1,2.4,117966.0,2.9,0.1,2.1,32.0,8.2,16.3,(X),23964,61225,45624,2570,60902,25398,17684,6883,4.1,2.59,2.56,5.5,10.0,7.2,13.5,19.1,30.8,19.4,12891,11297,59116,1.3,6.0,56.8,5.0,4.1,7.6,5.9,0.0,13.2,2.59
Kings County, New York,2016,25.1,22.0,14.4,81.3,13.5,9.8,6.2,61.2,26.1,6.2,38.8,958147,60.5,43.4,47.1,19.4,3.9,2606852.0,6.4,0.3,9.3,34.5,7.4,42.8,(X),30526,83115,55150,3736,91048,23742,15695,9162,2.0,3.08,2.61,4.1,7.9,7.9,15.1,26.2,28.8,14.2,170044,107702,1031125,5.7,8.6,5.4,17.9,34.6,16.3,11.1,0.1,0.2,3.08
Livingston County, New York,2016,33.6,15.1,10.4,89.6,18.7,8.9,11.9,59.6,22.5,3.8,40.4,1759,96.6,35.2,38.3,3.3,0.6,64622.0,2.0,0.0,0.9,40.4,4.6,26.5,(X),23687,61229,53121,1024,58649,18636,18858,9569,1.8,2.53,2.06,5.9,9.5,8.1,13.6,27.9,25.1,15.8,11477,6352,27361,3.1,1.8,68.5,4.7,1.2,4.3,3.7,0.0,12.7,2.53
Madison County, New York,2016,34.3,17.0,12.1,91.4,14.7,6.5,13.2,61.6,22.3,3.5,38.4,2580,96.0,31.8,37.7,2.0,0.4,72089.0,0.6,0.1,0.3,41.1,4.7,24.9,(X),29509,76630,60630,3320,81219,24320,17619,10361,2.7,2.72,2.12,6.0,11.9,12.8,15.3,27.7,22.5,9.8,11612,8595,31804,1.0,0.6,75.5,7.3,2.4,1.2,4.2,0.0,7.8,2.72
Monroe County, New York,2016,22.7,21.0,16.4,90.1,18.1,6.8,11.8,60.1,25.2,3.7,39.9,65573,87.9,36.8,39.9,8.1,0.6,749236.0,5.6,0.4,2.4,38.6,5.6,20.6,(X),31269,74700,54492,3334,76780,24224,19655,9714,1.1,2.56,2.16,5.9,8.5,8.6,13.8,23.8,26.1,19.3,123224,65045,326652,2.9,5.5,62.9,6.5,7.9,6.6,7.0,0.0,0.7,2.56
Nassau County, New York,2016,23.1,24.7,20.2,91.5,15.4,3.6,8.0,76.5,31.2,4.0,23.5,306063,76.0,30.3,34.9,16.1,0.8,1356801.0,2.6,0.5,7.9,41.4,5.4,35.9,(X),46482,139034,105870,3619,140045,35158,22414,10712,1.2,3.09,2.84,6.5,14.9,10.7,19.6,26.6,19.6,8.7,224497,130149,466987,2.2,3.0,76.0,6.7,8.7,1.5,1.8,0.0,0.1,3.09
New York County, New York,2016,12.7,31.3,29.2,87.2,10.1,5.6,4.0,42.1,16.1,3.2,57.9,487464,66.9,48.5,51.3,25.9,2.6,1634989.0,6.7,0.7,12.8,36.7,5.0,32.5,(X),68126,143741,77559,3464,156910,29411,17676,9195,3.6,2.02,2.15,3.3,9.8,7.1,13.0,20.5,31.3,18.2,88861,83463,875990,11.5,0.7,1.1,1.2,78.3,2.1,5.0,0.1,0.1,2.02
Niagara County, New York,2016,33.9,14.4,9.9,91.4,20.1,6.2,13.1,62.4,24.1,4.6,37.6,7671,95.4,28.4,36.8,2.6,0.5,213374.0,1.5,0.0,0.9,42.9,5.2,22.9,(X),27848,65869,50233,3028,67868,23727,19257,9657,5.4,2.51,2.12,5.9,12.3,10.3,14.5,26.0,25.0,11.9,34708,26731,99122,2.1,1.7,69.9,8.8,4.0,5.8,4.0,0.2,3.6,2.51
Oneida County, New York,2016,32.3,16.4,10.2,87.6,16.7,8.1,12.1,62.6,24.9,4.8,37.4,17361,91.4,31.2,38.4,5.2,0.5,232858.0,2.9,0.1,1.8,41.2,5.7,19.7,(X),27357,68695,52996,2735,71873,23655,18244,9846,1.4,2.56,2.32,5.9,15.2,8.1,14.0,24.8,23.2,14.6,35308,25909,103763,1.3,1.9,63.2,13.2,4.5,6.5,3.6,0.0,5.9,2.56
Onondaga County, New York,2016,25.2,19.7,15.3,90.5,18.6,6.2,11.8,60.1,24.7,4.4,39.9,36601,90.9,34.6,40.9,4.6,0.6,468050.0,2.3,0.4,1.5,38.8,5.7,19.7,(X),31040,76174,56991,3790,81006,22677,19163,9670,1.9,2.6,2.14,6.0,10.7,9.3,13.6,24.0,26.2,16.2,72657,45510,205492,4.7,4.0,63.1,8.2,7.3,4.2,7.4,0.0,1.0,2.6
Ontario County, New York,2016,28.3,18.5,15.3,93.2,17.8,4.8,13.3,64.6,25.5,5.3,35.4,4387,94.4,28.5,33.3,4.2,0.6,109450.0,2.5,0.1,1.2,43.3,5.1,22.7,(X),32922,78032,57448,1962,79995,23121,20648,7345,0.6,2.48,2.01,6.1,10.1,9.2,16.3,26.6,21.5,16.2,19867,12651,50328,2.4,5.2,67.5,4.4,3.6,6.0,4.7,0.0,6.3,2.48
Orange County, New York,2016,29.6,16.3,12.7,89.3,20.1,6.6,10.6,69.2,32.0,4.6,30.8,41683,86.5,32.4,38.8,19.4,4.1,376242.0,8.1,0.4,9.4,36.9,6.6,33.5,(X),31571,91061,73025,3555,92845,32234,19697,12285,3.5,3.11,2.72,5.8,8.0,9.4,14.4,29.9,23.6,14.7,54809,23869,141147,4.2,6.4,61.4,7.6,5.1,6.4,6.6,0.0,2.4,3.11
Oswego County, New York,2016,38.6,9.7,8.0,86.9,18.9,9.3,11.6,65.8,28.3,7.9,34.2,2078,97.6,29.6,34.2,2.4,0.3,120513.0,1.2,0.0,0.9,39.5,5.5,25.7,(X),25432,65090,53562,3766,65536,21991,18958,9116,2.3,2.59,2.48,5.7,9.2,9.5,16.7,25.1,24.3,15.2,18540,12978,53673,1.9,1.2,66.1,5.7,2.5,3.6,3.1,0.0,15.9,2.59
Putnam County, New York,2016,25.2,24.2,19.2,92.7,13.6,3.2,10.5,74.6,28.1,3.9,25.4,13181,85.2,25.6,32.1,13.1,1.0,99408.0,4.8,0.3,3.3,43.4,4.5,40.0,(X),43309,122979,96992,1650,123816,31214,22396,16510,1.0,2.8,2.65,6.2,10.3,12.4,19.0,28.6,20.2,9.6,19010,8290,38328,0.9,7.3,77.4,5.1,2.5,4.0,2.3,0.0,0.6,2.8
Queens County, New York,2016,27.9,19.5,11.9,81.6,14.3,8.3,7.9,66.4,26.4,6.1,33.6,1097976,50.7,36.8,42.5,28.0,4.1,2310011.0,4.9,0.5,13.9,37.9,6.3,44.3,(X),28609,81379,62207,3654,85132,24920,17318,8727,1.6,3.23,2.87,4.3,9.7,7.3,15.0,27.1,28.9,11.9,196737,139247,851576,3.4,8.6,18.6,20.5,32.2,11.1,5.5,0.0,0.1,3.23
Rensselaer County, New York,2016,26.9,19.1,14.0,91.2,17.3,5.1,13.9,60.1,27.6,4.1,39.9,9165,93.7,33.1,40.6,4.5,0.7,159959.0,2.1,0.1,1.0,39.8,5.4,26.0,(X),32904,80856,65965,1684,80984,27338,19061,10274,1.9,2.54,2.31,5.7,11.0,7.7,13.4,29.0,22.6,16.2,25842,13824,71946,3.3,3.1,57.0,12.4,6.4,9.1,6.2,0.2,2.4,2.54
Richmond County, New York,2016,30.5,19.4,13.1,88.6,18.2,6.7,7.4,74.1,32.5,4.1,25.9,111854,74.4,31.9,34.5,18.0,3.9,473324.0,8.4,0.4,4.5,39.6,5.8,44.3,(X),33559,95481,77197,3061,103286,34508,20033,9826,2.3,2.98,2.55,5.7,10.5,8.3,18.2,29.1,22.6,11.3,80564,35298,179391,1.1,23.2,36.5,23.1,10.0,4.1,1.8,0.0,0.2,2.98
Rockland County, New York,2016,21.7,21.5,18.0,85.7,16.5,7.0,7.9,73.5,32.6,4.4,26.5,75007,74.4,30.0,36.7,17.0,1.4,322642.0,4.5,0.5,8.7,36.3,7.5,30.7,(X),37038,116116,85515,5163,115186,33916,22484,9496,0.8,3.07,3.58,6.5,12.0,9.2,17.9,26.5,22.9,11.4,45168,23074,105171,4.9,8.9,57.1,6.7,8.2,7.9,5.4,0.0,0.9,3.07
St. Lawrence County, New York,2016,35.3,11.0,12.4,87.5,16.9,8.9,11.9,65.6,27.6,7.7,34.4,4688,94.7,32.7,39.7,2.2,0.3,111529.0,1.1,0.1,1.1,38.0,5.4,20.8,(X),24212,64088,51592,2567,64556,21280,19011,8715,3.8,2.53,2.08,5.7,12.3,11.4,13.1,25.8,21.6,15.9,15328,14674,52386,1.4,1.2,70.5,4.6,4.0,4.7,1.6,0.0,12.0,2.53
Saratoga County, New York,2016,24.4,24.1,16.7,93.8,17.3,4.3,11.4,64.9,28.4,3.8,35.1,11562,94.2,25.0,33.6,2.9,0.8,224929.0,0.8,0.1,0.6,42.0,5.2,25.6,(X),41368,99966,76097,3956,99995,30035,21031,9870,0.6,2.52,2.01,6.0,8.5,7.1,14.9,25.6,27.2,16.8,44191,23500,104117,3.8,5.5,62.0,5.7,4.2,6.3,4.6,0.0,7.9,2.52
Schenectady County, New York,2016,32.9,18.6,11.7,89.3,14.9,7.0,11.2,59.4,22.9,5.0,40.6,15850,87.7,36.2,43.2,6.6,0.6,154845.0,3.7,0.4,4.6,39.9,5.9,23.9,(X),28485,75564,58331,2969,74342,30420,18626,8573,2.4,3.31,2.64,5.4,11.2,10.9,11.2,26.8,25.1,14.8,19458,12247,68492,4.4,2.3,55.7,19.7,5.9,6.0,5.8,0.0,0.2,3.31
Steuben County, New York,2016,36.2,11.9,10.9,89.5,17.2,7.4,13.4,66.1,26.1,4.9,33.9,2718,96.8,26.5,31.7,1.6,0.4,98151.0,0.6,0.1,0.4,42.3,5.7,21.7,(X),28395,69894,50575,3819,70259,21540,19479,9607,1.5,2.51,2.37,6.0,12.0,8.9,15.3,25.8,25.2,12.7,15043,12960,48703,0.8,2.1,67.6,6.6,1.3,4.2,2.9,0.0,14.6,2.51
Suffolk County, New York,2016,29.0,19.1,15.7,90.8,17.6,5.1,9.4,73.6,29.4,4.8,26.4,236874,82.7,30.0,36.6,18.2,1.1,1498130.0,4.3,0.4,5.8,40.9,5.4,31.6,(X),40253,118609,92933,3323,119087,34618,21798,10858,1.6,3.16,2.79,6.3,13.2,10.4,17.7,29.3,20.9,8.6,252954,121726,570952,2.5,4.1,80.0,4.2,3.6,2.2,2.5,0.0,0.8,3.16
Sullivan County, New York,2016,30.8,11.8,10.5,86.0,21.7,9.7,11.2,65.3,23.9,6.8,34.7,6586,87.6,31.9,36.9,15.0,1.5,75818.0,7.0,0.3,4.1,42.5,5.7,30.2,(X),27870,76471,50652,557,82569,24582,18260,10225,6.3,2.96,2.49,5.3,13.6,9.9,15.9,30.7,16.9,13.0,9638,8214,49896,1.7,2.6,72.7,4.9,2.7,4.0,3.4,0.0,8.1,2.96
Tompkins County, New York,2016,21.6,22.4,29.3,94.6,12.5,4.3,8.8,53.9,21.5,2.0,46.1,14437,84.2,45.7,52.9,4.7,0.9,104268.0,1.4,0.2,1.4,30.3,4.2,17.0,(X),28013,73644,56349,4096,72978,28597,21694,11227,2.7,2.55,2.24,5.3,6.3,8.2,11.4,21.4,22.1,30.6,11476,9255,42445,4.9,3.4,50.6,10.1,8.2,7.8,7.5,0.0,7.4,2.55
Ulster County, New York,2016,29.9,18.3,14.6,90.6,17.5,5.5,10.4,61.4,21.7,6.5,38.6,13776,90.4,31.9,38.2,9.6,1.7,180505.0,4.2,0.3,2.3,43.4,4.5,28.8,(X),33190,82176,62790,4835,82987,23802,19707,10533,1.4,2.55,2.24,5.5,11.6,10.1,16.9,25.4,22.6,13.4,28884,17560,83934,2.3,3.2,67.9,7.1,2.9,4.9,5.2,0.0,6.4,2.55
Warren County, New York,2016,33.6,17.9,12.0,92.2,20.4,5.1,8.4,59.0,19.2,4.3,41.0,1682,96.4,25.1,33.8,2.2,0.7,64911.0,0.9,0.0,0.4,45.6,4.6,23.0,(X),34098,75717,58061,3722,72859,27228,18936,13603,3.0,2.34,1.91,5.5,7.9,8.5,12.6,27.2,23.0,20.8,12110,7976,39384,3.3,3.1,67.4,7.3,4.2,5.3,3.8,0.3,5.3,2.34
Wayne County, New York,2016,32.7,11.9,9.8,89.5,20.8,6.3,14.3,69.8,27.7,5.6,30.2,3098,96.0,23.6,24.9,4.1,1.0,91874.0,2.2,0.1,1.1,43.4,5.5,23.6,(X),28775,70422,59538,2321,69993,24206,20249,9184,0.6,2.34,2.49,6.1,9.8,9.2,15.2,26.7,23.8,15.4,17936,10595,41545,0.7,2.4,76.0,5.3,2.0,4.9,2.2,0.1,6.4,2.34
Westchester County, New York,2016,19.4,24.1,23.5,87.2,13.9,5.9,6.3,68.7,30.6,4.6,31.3,249202,71.7,31.8,36.9,23.6,4.3,969229.0,5.0,0.5,11.2,40.5,5.7,34.9,(X),50631,141104,89709,4420,147193,33731,20811,9321,1.5,2.84,2.66,5.3,10.3,8.2,16.2,25.9,26.5,12.8,134471,73272,369652,4.6,5.8,43.6,9.0,23.4,8.1,5.2,0.0,0.2,2.84
